,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
118,CS10C,Sophomore,0,CSBA major,3.34 - 3.66,18 - 20,Male,2 - 3 hours,3 - 4 times,2,15 - 30 minutes,7 - 8 hours,3,,"Tea, Coffee, Energy drink",0 oz,12-15
119,CS111,Senior,0,CS major,2.50 - 2.99,20 - 22,Male,4 - 5 hours,5 - 6 times,2,15 - 30 minutes,4 - 5 hours,1,Once per week,"Coffee, Energy drink",Less than 12 oz (about 1 cup),12-15
120,CS10C,Sophomore,0,Data Science major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,4,15 - 30 minutes,6 - 7 hours,3,Once per week,Energy drink,12-24 oz (1 - 2 cups),>15
121,CS10C,Sophomore,0,Data Science major,2.50 - 2.99,18 - 20,Male,2 - 3 hours,5 - 6 times,3,15 - 30 minutes,6 - 7 hours,2,Once per week,"Tea, Energy drink",Less than 12 oz (about 1 cup),>15
122,CS105,Senior,0,Other,3.67 - 4.0,20 - 22,Female,0 - 1 hours,"0, I don't go to the gym",1,60+ minutes,0 - 3 hours,1,Once per day,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),12-15
123,CS10C,Sophomore,0,Mathematics major,3.00 - 3.33,18 - 20,Female,0 - 1 hours,"0, I don't go to the gym",2,30 - 45 minutes,6 - 7 hours,2,Once per week,Tea,12-24 oz (1 - 2 cups),>15
124,CS111,Junior,0,CS major,3.34 - 3.66,20 - 22,Male,0 - 1 hours,"0, I don't go to the gym",2,30 - 45 minutes,4 - 5 hours,3,Once per day,"Coffee, Energy drink",12-24 oz (1 - 2 cups),>15
125,CS10C,Sophomore,0,CS major,2.00 - 2.49,26+,Male,4 - 5 hours,3 - 4 times,4,30 - 45 minutes,5 - 6 hours,3,Once per day,"Coffee, Energy drink",25-48 oz (2 - 4 cups),12-15
126,CS111,Sophomore,0,Other,3.34 - 3.66,18 - 20,Transfem,0 - 1 hours,"0, I don't go to the gym",1,60+ minutes,6 - 7 hours,4,Multiple times per week,Tea,25-48 oz (2 - 4 cups),12-15
127,CS10C,Junior,1,CS major,3.00 - 3.33,22 - 24,Male,More than 5+ hours,5 - 6 times,3,15 - 30 minutes,5 - 6 hours,2,Once per day,"Tea, Energy drink",Less than 12 oz (about 1 cup),12-15
128,"CS111, CS10C",Junior,0,Other,Prefer not to say,20 - 22,Male,More than 5+ hours,3 - 4 times,1,15 - 30 minutes,5 - 6 hours,1,I don't consume them at all,None,0 oz,12-15
129,CS105,Graduate,0,CS major,3.34 - 3.66,24 - 26,Male,0 - 1 hours,"0, I don't go to the gym",3,60+ minutes,7 - 8 hours,3,Once per week,Tea,Less than 12 oz (about 1 cup),12-15
130,CS105,Junior,0,Other,3.67 - 4.0,20 - 22,Male,4 - 5 hours,3 - 4 times,3,15 - 30 minutes,4 - 5 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),>15
131,CS111,Junior,0,CS major,3.00 - 3.33,20 - 22,Female,2 - 3 hours,1 - 2 times,3,0 - 15 minutes,5 - 6 hours,3,Once per day,"Tea, Coffee",25-48 oz (2 - 4 cups),12-15
132,CS111,Junior,0,Data Science major,2.50 - 2.99,20 - 22,Male,Prefer not to say,"0, I don't go to the gym",3,15 - 30 minutes,7 - 8 hours,3,Once per week,"Coffee, Energy drink",0 oz,12-15
133,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,More than 5+ hours,3 - 4 times,4,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,Coffee,More than 72 oz (over 6 cups),12-15
